#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1528	319583	ENTREZ_GENE	Lig4	5830471N16Rik|tiny	10090	Mus musculus	4.9629e-06	0.000936	3.1823e-07	-	-	YES	BioGRID ORCS
1528	77782	ENTREZ_GENE	Polq	A430110D14Rik	10090	Mus musculus	4.9629e-06	0.000936	7.1318e-07	-	-	YES	BioGRID ORCS
1528	100683	ENTREZ_GENE	Trrap	AI481500	10090	Mus musculus	4.9629e-06	0.000936	8.4993e-07	-	-	YES	BioGRID ORCS
1528	14088	ENTREZ_GENE	Fancc	Facc	10090	Mus musculus	3.474e-05	0.003277	3.0659e-06	-	-	YES	BioGRID ORCS
1528	104806	ENTREZ_GENE	Fancm	AI427100|C730036B14Rik|D12Ertd364e	10090	Mus musculus	3.474e-05	0.003277	3.4011e-06	-	-	YES	BioGRID ORCS
1528	18538	ENTREZ_GENE	Pcna	-	10090	Mus musculus	3.474e-05	0.003277	3.6824e-06	-	-	YES	BioGRID ORCS
1528	75570	ENTREZ_GENE	Nhej1	1700029B21Rik|XLF|cernunnos	10090	Mus musculus	4.4666e-05	0.003612	3.8398e-06	-	-	YES	BioGRID ORCS
1528	18971	ENTREZ_GENE	Pold1	125kDa	10090	Mus musculus	0.00011415	0.008076	1.0131e-05	-	-	YES	BioGRID ORCS
1528	14375	ENTREZ_GENE	Xrcc6	70kDa|G22p1|Ku70	10090	Mus musculus	0.00014392	0.009051	1.2355e-05	-	-	YES	BioGRID ORCS
1528	269523	ENTREZ_GENE	Vcp	3110001E05|CDC48|p97|p97/VCP	10090	Mus musculus	0.00016377	0.00927	1.3522e-05	-	-	YES	BioGRID ORCS
1528	71988	ENTREZ_GENE	Esco2	2410004I17Rik|D030072L07Rik	10090	Mus musculus	0.00019355	0.009959	1.53e-05	-	-	YES	BioGRID ORCS
1528	13006	ENTREZ_GENE	Smc3	Bamacan|Cspg6|HCAP|Mmip1|SMC-3|SmcD	10090	Mus musculus	0.00022333	0.010534	1.734e-05	-	-	YES	BioGRID ORCS
1528	70681	ENTREZ_GENE	Abraxas1	3830405G04Rik|5630400M01Rik|AI506069|AL024423|AV118690|Ccdc98|Fam175a	10090	Mus musculus	0.00029281	0.012239	2.9947e-05	-	-	YES	BioGRID ORCS
1528	240087	ENTREZ_GENE	Mdc1	6820401C03|AA413496|Nfbd1|mKIAA0170	10090	Mus musculus	0.00030274	0.012239	3.1308e-05	-	-	YES	BioGRID ORCS
1528	71890	ENTREZ_GENE	Mad2l2	2310033C13Rik|G1-453-4|MAD2B|REV7|repro22	10090	Mus musculus	0.00037222	0.014045	3.9211e-05	-	-	YES	BioGRID ORCS
1528	27398	ENTREZ_GENE	Mrpl2	CGI-22|L2mt|MRP-L14|MRP-L2|Rpml14	10090	Mus musculus	0.00043177	0.015274	4.9538e-05	-	-	YES	BioGRID ORCS
1528	18968	ENTREZ_GENE	Pola1	AW321876|Pola	10090	Mus musculus	0.0004814	0.016028	5.9935e-05	-	-	YES	BioGRID ORCS
1528	77622	ENTREZ_GENE	Apex2	C430040P13Rik|ape2	10090	Mus musculus	0.00061043	0.018764	7.4105e-05	-	-	YES	BioGRID ORCS
1528	11792	ENTREZ_GENE	Apex1	APE|Apex|HAP1|Ref-1	10090	Mus musculus	0.00065014	0.018764	8.1199e-05	-	-	YES	BioGRID ORCS
1528	22121	ENTREZ_GENE	Rpl13a	1810026N22Rik|Tstap198-7|tum-antigen	10090	Mus musculus	0.00071962	0.018764	9.159e-05	-	-	YES	BioGRID ORCS
1528	245000	ENTREZ_GENE	Atr	-	10090	Mus musculus	0.00074939	0.018764	9.4295e-05	-	-	YES	BioGRID ORCS
1528	18974	ENTREZ_GENE	Pole2	-	10090	Mus musculus	0.00076925	0.018764	9.8274e-05	-	-	YES	BioGRID ORCS
