#SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
1400	33147444	pubmed	Wei J (2020)	1-PMID33147444	21672	21672	Yes	802	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: MERS-CoV T1015N	0.1 MOI	~ 0.3	African green monkey CRISPRn  (CP0070)	CRISPRn	Knockout	Cas9-v1	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1409	33147444	pubmed	Wei J (2020)	2-PMID33147444	21672	21672	Yes	856	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: MERS-CoV (EMC/ 2012)	0.1 MOI	~ 0.3	African green monkey CRISPRn  (CP0070)	CRISPRn	Knockout	Cas9-v1	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1410	33147444	pubmed	Wei J (2020)	3-PMID33147444	21672	21672	Yes	795	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: HKU5-SARS-CoV-1-S ( bat CoV HKU5 expressing the SARS-CoV-1 spike)	0.1 MOI	~ 0.3	African green monkey CRISPRn  (CP0070)	CRISPRn	Knockout	Cas9-v1	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1411	33147444	pubmed	Wei J (2020)	4-PMID33147444	21672	21672	Yes	830	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: VSV-SARS-CoV-2-S (vesicular stomatitis virus expressing the SARS-CoV-2 spike)	0.1 MOI	~ 0.3	African green monkey CRISPRn  (CP0070)	CRISPRn	Knockout	Cas9-v1	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1412	33147444	pubmed	Wei J (2020)	5-PMID33147444	21672	21672	Yes	397	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: SARS-CoV-2 (isolate USA-WA1/2020)	0.1 MOI	~ 0.3	African green monkey CRISPRn  (CP0070)	CRISPRn	Knockout	Cas9-v2	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1415	33147444	pubmed	Wei J (2020)	6-PMID33147444	729	729	Yes	297	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: Picornavirus EMCV	0.1 MOI	~ 0.2	CRISPRn subpool library (CP1564) (Wilen, 2020)	CRISPRn	Knockout	Cas9-v2	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1416	33147444	pubmed	Wei J (2020)	7-PMID33147444	729	729	Yes	210	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: HKU5-SARS-CoV-1-S ( bat CoV HKU5 expressing the SARS-CoV-1 spike)	0.1 MOI	~ 0.2	CRISPRn subpool library (CP1564) (Wilen, 2020)	CRISPRn	Knockout	Cas9-v2	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1417	33147444	pubmed	Wei J (2020)	8-PMID33147444	729	729	Yes	199	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus:  Influenza A virus (IAV: Orthomyxovirus A/WSN/1933)	0.1 MOI	~ 0.2	CRISPRn subpool library (CP1564) (Wilen, 2020)	CRISPRn	Knockout	Cas9-v2	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1418	33147444	pubmed	Wei J (2020)	9-PMID33147444	729	729	Yes	271	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: MERS-CoV (EMC/ 2012)	0.1 MOI	~ 0.2	CRISPRn subpool library (CP1564) (Wilen, 2020)	CRISPRn	Knockout	Cas9-v2	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
1419	33147444	pubmed	Wei J (2020)	10-PMID33147444	729	729	Yes	291	Delta Z scores	Score Significance	Score.1 (Z-score) > 2.17 OR Score.1 (Z-score) < -2.17	High Throughput	Positive and Negative Selection	Pool	Virus Exposure	7 Days	Virus: MERS-CoV T1015N	0.1 MOI	~ 0.2	CRISPRn subpool library (CP1564) (Wilen, 2020)	CRISPRn	Knockout	Cas9-v2	Vero-E6|VERO C1008	African green monkey kidney cell line	response to virus	1	Z-score	-	-	-	-	60711	C. sabaeus	The viral screen identified genes that confer resistance (pro-viral) or sensitization (anti-viral) when targeted by sgRNAs, with a minimum FDR of 0.03 for non-targeting controls. These are indicated by a positive Z-score for enrichment (pro-viral genes knocked out) or depletion (anti-viral genes knocked out), respectively.	BioGRID ORCS	Increased/decreased resistance to virus
