#SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
81	28162770	pubmed	Wang T (2017)	16-PMID28162770	18987	18987	Yes	3426	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Mouse Two Plasmid Activity-Optimized CRISPR Knockout Library	CRISPRn	Knockout	Cas9	Ba/F3	Pre-B-Lymphocyte Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
82	28162770	pubmed	Wang T (2017)	17-PMID28162770	18987	18987	Yes	4759	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	-	Mouse Two Plasmid Activity-Optimized CRISPR Knockout Library	CRISPRn	Knockout	Cas9	Ba/F3	Pre-B-Lymphocyte Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
83	28162770	pubmed	Wang T (2017)	18-PMID28162770	18987	18987	Yes	3296	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	Murine Interleukin 3	1 ng/mL	-	Mouse Two Plasmid Activity-Optimized CRISPR Knockout Library	CRISPRn	Knockout	Cas9	Ba/F3	Pre-B-Lymphocyte Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
84	28162770	pubmed	Wang T (2017)	19-PMID28162770	18987	18987	Yes	3761	Log2 Fold Change (L2FC)	Score Significance	Score.1 (CRISPR Score (CS)) < -1.0	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	Murine Interleukin 3	1 ng/mL	-	Mouse Two Plasmid Activity-Optimized CRISPR Knockout Library	CRISPRn	Knockout	Cas9	Ba/F3	Pre-B-Lymphocyte Cell Line	cell proliferation	1	CRISPR Score (CS)	-	-	-	-	10090	M. musculus	-	BioGRID ORCS	Cell-essential genes
161	29290584	pubmed	Pusapati GV (2017)	1-PMID29290584	19674	19674	Yes	3053	MaGeCK	Score Significance	Score.1 (p-Value) < 0.1	High Throughput	Phenotype Screen	Pool	Timecourse	24 Hours	-	-	= 0.3	Brie (mouse)	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	regulation of signal transduction phenotype	3	p-Value	FDR	Log2	-	-	10090	M. musculus	Screen for negative regulators of the Hedgehog signaling pathway	BioGRID ORCS	Negative regulators of sonic hedgehog signalling pathway
163	29290584	pubmed	Pusapati GV (2017)	2-PMID29290584	19674	19674	Yes	3020	MaGeCK	Score Significance	Score.1 (p-Value) < 0.1	High Throughput	Phenotype Screen	Pool	Ligand Exposure	24 Hours	Sonic hedgehog protein (mouse)	3.2 nM	= 0.3	Brie (mouse)	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	regulation of signal transduction phenotype	3	p-Value	FDR	Log2	-	-	10090	M. musculus	Screen for negative regulators of the Hedgehog signaling pathway	BioGRID ORCS	Negative regulators of sonic hedgehog signalling pathway
165	29290584	pubmed	Pusapati GV (2017)	3-PMID29290584	19674	19674	Yes	2383	MaGeCK	Score Significance	Score.1 (p-Value) < 0.1	High Throughput	Phenotype Screen	Pool	Ligand Exposure	24 Hours	Sonic hedgehog protein (mouse)	25 nM	= 0.3	Brie (mouse)	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	regulation of signal transduction phenotype	3	p-Value	FDR	Log2	-	-	10090	M. musculus	Screen for negative regulators of the Hedgehog signaling pathway	BioGRID ORCS	Negative regulators of sonic hedgehog signalling pathway
167	29290584	pubmed	Pusapati GV (2017)	4-PMID29290584	19674	19674	Yes	2377	MaGeCK	Score Significance	Score.1 (p-Value) < 0.1	High Throughput	Phenotype Screen	Pool	Ligand Exposure	24 Hours	Sonic hedgehog protein (mouse)	25 nM	= 0.3	Brie (mouse)	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	regulation of signal transduction phenotype	3	p-Value	FDR	Log2	-	-	10090	M. musculus	Screen for positive regulators of the Hedgehog signaling pathway	BioGRID ORCS	Positive regulators of sonic hedgehog signalling pathway
345	29459677	pubmed	Breslow DK (2018)	2-PMID29459677	22414	22414	Yes	1516	CasTLE	Column Significance	-	High Throughput	Negative Selection	Pool	Timecourse	15 Days	-	-	~ 0.3	Bassik Mouse CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NIH 3T3	Embryonic Fibroblast Cell Line	cell proliferation	3	CasTLE Score	CasTLE Effect	p-Value	-	-	10090	M. musculus	Genes whose depletion caused a growth defect were determined so that they could be excluded from Hedgehog pathway specific analyses.	BioGRID ORCS	Cell-essential genes
578	27760321	pubmed	Tzelepis K (2016)	8-PMID27760321	19149	19149	Yes	360	MaGeCK	Score Significance	Score.2 (FDR) < 0.1	High Throughput	Negative Selection	Pool	Timecourse	14 Days	-	-	-	Murine lentiviral gRNA library (version 1)	CRISPRn	Knockout	Cas9	JM8.F6	Embryonic Stem Cell Line	cell proliferation	2	MaGeCK Score	FDR	-	-	-	10090	M. musculus	Depleted genes were identified at a cutoff of FDR 10% (FDR < 0.1).	BioGRID ORCS	Cell-essential genes
