#SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
1866	35482054	pubmed	Wang Y (2022)	1-PMID35482054	5630	5630	Yes	1299	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	BY4741	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in BY4741 strain	BioGRID ORCS	Essential genes in a BY4741 Saccharomyces cerevisiae strain
1867	35482054	pubmed	Wang Y (2022)	2-PMID35482054	5630	5630	Yes	1113	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	GIL104	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in GIL104 strain	BioGRID ORCS	Essential genes in a GIL104 Saccharomyces cerevisiae strain
1868	35482054	pubmed	Wang Y (2022)	3-PMID35482054	5630	5630	Yes	1426	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	UWOPS03-461.4	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in UWOPS03-461.4 strain	BioGRID ORCS	Essential genes in a UWOPS03-461.4 Saccharomyces cerevisiae strain
1869	35482054	pubmed	Wang Y (2022)	4-PMID35482054	5630	5630	Yes	1497	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	YPS606	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in YPS606 strain	BioGRID ORCS	Essential genes in a YPS606 Saccharomyces cerevisiae strain
1870	35482054	pubmed	Wang Y (2022)	5-PMID35482054	5630	5630	Yes	1323	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	YIIc17_E5	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in YIIc17_E5 strain	BioGRID ORCS	Essential genes in a YIIc17_E5 Saccharomyces cerevisiae strain
1871	35482054	pubmed	Wang Y (2022)	6-PMID35482054	5630	5630	Yes	1359	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	322134S	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in 322134S strain	BioGRID ORCS	Essential genes in a 322134S Saccharomyces cerevisiae strain
1872	35482054	pubmed	Wang Y (2022)	7-PMID35482054	5630	5630	Yes	1378	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	BC187	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in BC187 strain	BioGRID ORCS	Essential genes in a BC187 Saccharomyces cerevisiae strain
1873	35482054	pubmed	Wang Y (2022)	8-PMID35482054	5630	5630	Yes	1294	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	YJM978	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in YJM978 strain	BioGRID ORCS	Essential genes in a YJM978 Saccharomyces cerevisiae strain
1874	35482054	pubmed	Wang Y (2022)	9-PMID35482054	5630	5630	Yes	1487	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	DBVPG1106	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in DBVPG1106 strain	BioGRID ORCS	Essential genes in a DBVPG1106 Saccharomyces cerevisiae strain
1875	35482054	pubmed	Wang Y (2022)	10-PMID35482054	5630	5630	Yes	772	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.1 AND Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	5 Days	-	-	-	S. cerevisiae CRISPRn library (Liu, 2022)	CRISPRn	Knockout	Cas9	L-1528	Saccharomyces cerevisiae	cell proliferation	3	MaGeCK Score	Log2FC	FDR	-	-	559292	S. cerevisiae	sgRNAs were designed using the Saccharomyces_cerevisiae_S288c reference genome but experiments were performed in strains of interest in order to compare essentiality across strains.|Experiment performed in L-1528 strain	BioGRID ORCS	Essential genes in a L-1528 Saccharomyces cerevisiae strain
