OFFICIAL_SYMBOL,IDENTIFIER_ID,Gene_Type
TP53,7157,PROTEIN_CODING
EGFR,1956,PROTEIN_CODING
TNF,7124,PROTEIN_CODING
APOE,348,PROTEIN_CODING
VEGFA,7422,PROTEIN_CODING
IL6,3569,PROTEIN_CODING
TGFB1,7040,PROTEIN_CODING
MTHFR,4524,PROTEIN_CODING
ERBB2,2064,PROTEIN_CODING
HIF1A,3091,PROTEIN_CODING
ESR1,2099,PROTEIN_CODING
IL10,3586,PROTEIN_CODING
APP,351,PROTEIN_CODING
ACE,1636,PROTEIN_CODING
BRCA1,672,PROTEIN_CODING
STAT3,6774,PROTEIN_CODING
MMP9,4318,PROTEIN_CODING
CRP,1401,PROTEIN_CODING
KRAS,3845,PROTEIN_CODING
BDNF,627,PROTEIN_CODING
BRAF,673,PROTEIN_CODING
ADIPOQ,9370,PROTEIN_CODING
AR,367,PROTEIN_CODING
AKT1,207,PROTEIN_CODING
ABCB1,5243,PROTEIN_CODING
HLA-DRB1,3123,PROTEIN_CODING
NFKB1,4790,PROTEIN_CODING
VDR,7421,PROTEIN_CODING
IL1B,3553,PROTEIN_CODING
CDKN2A,1029,PROTEIN_CODING
PTEN,5728,PROTEIN_CODING
CTNNB1,1499,PROTEIN_CODING
TLR4,7099,PROTEIN_CODING
PTGS2,5743,PROTEIN_CODING
NOS3,4846,PROTEIN_CODING
CFTR,1080,PROTEIN_CODING
COMT,1312,PROTEIN_CODING
SNCA,6622,PROTEIN_CODING
CXCL8,3576,PROTEIN_CODING
CD274,29126,PROTEIN_CODING
TERT,7015,PROTEIN_CODING
PPARG,5468,PROTEIN_CODING
SLC6A4,6532,PROTEIN_CODING
MYC,4609,PROTEIN_CODING
MAPT,4137,PROTEIN_CODING
HLA-B,3106,PROTEIN_CODING
MTOR,2475,PROTEIN_CODING
CDH1,999,PROTEIN_CODING
IGF1,3479,PROTEIN_CODING
BCL2,596,PROTEIN_CODING
LEP,3952,PROTEIN_CODING
CXCR4,7852,PROTEIN_CODING
GSTM1,2944,PROTEIN_CODING
IFNG,3458,PROTEIN_CODING
BRCA2,675,PROTEIN_CODING
MDM2,4193,PROTEIN_CODING
JAK2,3717,PROTEIN_CODING
MMP2,4313,PROTEIN_CODING
